herb,symptom,indication
U201,C0427055,0
U771,C0234133,0
U795,C0020429,1
U417,C0032285,1
U12,C0020429,1
U325,C0000737,1
U90,C0042963,1
U697,C0030193,1
U135,C0020505,1
U104,C0020429,1
U560,C0221263,0
U476,C0006271,0
U282,C0023012,0
U994,C0237326,1
U795,C0030193,1
U446,C0030193,1
U996,C0037317,0
U58,C0011991,1
U488,C0699731,0
U694,C0026846,0
U971,C0000737,1
U363,C0013595,1
U43,C0018681,1
U399,C0018780,0
U758,C0020429,1
U214,C0009806,1
U313,C0020429,1
U175,C0235153,0
U393,C0013491,0
U837,C0032617,0
U590,C0032285,1
U1032,C0973461,0
U403,C0152031,0
U872,C0338591,0
U963,C0035229,0
U24,C0010200,1
U793,C0028754,0
U995,C0022346,1
U242,C0039070,1
U440,C0030193,1
U533,C0237326,0
U267,C0012833,1
U669,C0018989,1
U670,C0013604,1
U437,C0020429,1
U771,C0015644,0
U302,C0020429,1
U680,C0020429,1
U600,C1145670,0
U309,C0476273,0
U372,C0237326,1
U20,C0033377,0
U359,C0042571,1
U696,C0042571,1
U258,C0030193,1
U360,C0018681,1
U190,C0018681,1
U17,C0030193,1
U849,C0002622,0
U523,C0042024,0
U18,C0237326,1
U709,C0018681,1
U704,C0234376,0
U765,C2931205,0
U700,C0013595,1
U752,C0700078,0
U542,C0476273,0
U305,C0030193,1
U901,C0234979,0
U582,C0013604,1
U39,C0023380,1
U794,C0014118,0
U740,C0206160,0
U473,C0030232,0
U393,C0012833,1
U1033,C0013604,0
U141,C0030193,1
U667,C0020796,0
U201,C0031154,0
U314,C0042798,0
U193,C0023014,0
U95,C0042963,1
U828,C0155320,0
U958,C0020429,1
U5,C0000737,1
U475,C0020429,1
U148,C0000737,1
U706,C0020429,0
U196,C0023380,1
U862,C0039070,0
U241,C0234378,0
U503,C0020429,1
U319,C0042571,1
U476,C0020429,1
U647,C0018681,1
U566,C0007758,0
U285,C0542476,0
U54,C0086132,1
U214,C0033774,1
U890,C0011991,1
U802,C0013604,1
U763,C1568249,0
U898,C0013595,1
U158,C3552463,0
U206,C0234979,0
U614,C0020429,1
U767,C0010200,1
U148,C0009460,0
U597,C0012833,1
U174,C0014335,0
U950,C0015967,1
U770,C0008489,0
U5,C0030193,1
U470,C0019572,0
U627,C0013604,1
U584,C0011991,1
U380,C0042963,1
U899,C0020429,1
U777,C0011570,0
U658,C0020429,1
U440,C0042571,1
U338,C0031154,0
U795,C0032285,1
U135,C0030193,1
U55,C0020429,1
U679,C0012833,1
U890,C0030193,1
U726,C0018784,0
U560,C0042963,1
U748,C0018681,1
U390,C0851578,0
U83,C0020429,1
U462,C0020538,0
U860,C0022541,0
U1039,C0030232,0
U559,C0011991,1
U948,C0231835,1
U948,C1860844,0
U171,C0009421,1
U54,C0039070,1
U54,C0700078,0
U55,C0027066,0
U238,C0028756,0
U372,C0020429,1
U602,C0020429,1
U668,C0008031,1
U231,C0237326,0
U650,C0010200,1
U211,C0237326,1
U435,C1963137,0
U805,C0973461,0
U735,C0020429,1
U267,C0030232,0
U611,C0023186,0
U410,C0022346,1
U4,C0030193,1
U782,C0022541,0
U516,C0030193,1
U107,C0020615,0
U477,C0000737,1
U430,C0030193,1
U989,C0033687,0
U178,C0234132,0
U918,C0000737,1
U585,C2931205,0
U210,C0039070,0
U384,C0006625,0
U350,C0011991,0
U95,C0015967,1
U79,C0221263,0
U518,C0231528,0
U860,C0152031,1
U953,C0030193,1
U747,C0007758,0
U294,C0013404,0
U690,C0042798,0
U331,C1963137,0
U68,C0010200,0
U269,C0020429,1
U166,C0155320,0
U504,C0010200,1
U100,C0029089,0
U62,C0020429,1
U465,C0008489,0
U584,C0009806,1
U47,C0237326,1
U211,C0030193,1
U156,C0020429,1
U157,C0151786,0
U162,C0033687,0
U395,C0700590,0
U118,C0030193,1
U319,C0009806,1
U529,C0237326,1
U467,C0013595,1
U679,C0086437,0
U693,C0000737,1
U734,C0030193,1
U310,C0030232,0
U614,C0020438,0
U461,C0023380,0
U45,C0030193,1
U721,C0542476,1
U442,C0020429,1
U498,C0008031,0
U784,C0020615,0
U530,C0013604,1
U103,C0003537,0
U803,C0013604,1
U948,C0700590,0
U912,C0237326,1
U491,C0221263,0
U959,C0010200,1
U948,C0022346,1
U814,C0206160,0
U340,C0030193,1
U136,C0030486,0
U489,C0542476,0
U547,C0162674,0
U584,C0237326,1
U534,C0026846,1
U399,C0030193,1
U795,C0010200,1
U730,C0022346,1
U650,C0542476,1
U156,C0013604,1
U635,C0030193,1
U366,C1691779,0
U533,C0026821,0
U213,C0020438,0
U861,C0030193,1
U55,C0026838,0
U431,C0034150,0
U892,C0009806,1
U584,C0010200,1
U372,C0009806,1
U452,C0178417,0
U508,C0026846,0
U751,C0231835,0
U503,C0023015,0
U527,C0010200,1
U147,C0010200,1
U360,C0010200,0
U730,C0042963,1
U492,C0036572,0
U650,C0026837,0
U524,C0013604,1
U816,C0023530,0
U780,C0032617,0
U113,C0001925,0
U156,C0476254,0
U442,C0018989,1
U230,C0751265,0
U150,C0008031,1
U669,C0003862,1
U380,C0030193,1
U116,C0013604,1
U164,C0003123,1
U653,C0030232,0
U705,C0018784,0
U146,C0010200,1
U83,C0000737,1
U117,C0010200,1
U1034,C0032285,0
U110,C0036572,1
U670,C0042798,1
U102,C0009398,0
U584,C0002103,0
U994,C0009806,1
U338,C0022346,1
U668,C0020429,1
U228,C0476273,0
U602,C0018681,1
U919,C0008031,1
U939,C0233565,0
U642,C0030193,1
U118,C0162298,0
U430,C0020429,1
U704,C0271097,0
U959,C0033774,1
U587,C0398650,0
U293,C0973461,0
U560,C0020796,0
U1033,C0023015,0
U174,C0015644,0
U668,C0018784,0
U519,C0427190,0
U131,C0003578,0
U845,C0030232,0
U687,C0000737,1
U451,C0030193,1
U70,C0020429,1
U146,C0015967,1
U13,C0019825,0
U532,C0013595,1
U151,C0751837,0
U845,C0151825,0
U597,C0039070,1
U224,C1963154,0
U721,C1963137,0
U293,C0231528,0
U475,C0030193,1
U654,C0013604,0
U709,C0020429,1
U236,C0013604,1
U17,C0020429,1
U869,C0030193,1
U852,C0010200,1
U671,C0015230,0
U872,C0000737,1
U685,C0033687,0
U686,C0018784,0
U1023,C0005745,0
U454,C0003126,0
U170,C0042963,1
U386,C0016382,0
U262,C0018681,1
U578,C0013604,1
U248,C0010200,1
U661,C0026837,0
U1032,C1568249,0
U50,C0030193,1
U363,C0022346,1
U462,C0033377,0
U146,C0032285,1
U700,C0033774,1
U265,C0026838,0
U566,C0042571,0
U789,C0398650,0
U842,C0086132,0
U844,C0018834,0
U828,C0234979,0
U406,C0700590,0
U206,C0030193,1
U113,C0018989,0
U380,C0271215,0
U370,C0035078,0
U546,C0013604,0
U537,C0009421,0
U683,C0011991,1
U653,C0026838,0
U273,C0271215,0
U488,C0020429,1
U553,C0023380,0
U150,C0020429,1
U285,C0040822,0
U416,C0022346,1
U395,C3552463,0
U785,C0006625,0
U113,C0030193,0
U901,C0000737,1
U805,C0151825,0
U578,C0233565,0
U606,C0700078,0
U869,C0151825,0
U685,C0030193,1
U302,C0013604,1
U796,C0003578,0
U994,C2364082,0
U633,C0000737,0
U637,C0030193,1
U869,C0000737,1
U752,C0008031,0
U540,C0026846,0
U777,C0023380,0
U36,C0042024,0
U1009,C0018989,0
U418,C0151786,0
U36,C0030193,1
U891,C0015967,1
U269,C0027498,0
U120,C0000737,1
U183,C0030193,1
U120,C0018681,1
U809,C0022346,0
U76,C0000737,1
U202,C0012833,1
U488,C0030193,1
U780,C0014335,0
U198,C0033774,0
U669,C0020429,1
U584,C0020429,1
U919,C0040034,0
U274,C0003862,0
U870,C0030232,0
U661,C0020429,1
U349,C0020429,1
U230,C0234132,0
U668,C0030193,1
U46,C0042963,0
U393,C0033774,1
U639,C0030193,1
U118,C0020429,1
U963,C0022346,1
U57,C0234132,0
U606,C0973461,0
U872,C0086132,0
U305,C0019825,1
U678,C0042571,1
U141,C0009806,1
U35,C0013595,0
U83,C0030193,1
U996,C0009460,0
U351,C0039070,1
U818,C0000737,1
U124,C0030193,1
U979,C0013604,1
U892,C0010200,1
U469,C0000737,1
U544,C0003862,1
U693,C0011991,1
U386,C0018681,1
U918,C0006625,0
U70,C0000737,1
U77,C0039070,1
U456,C0009421,0
U39,C0746674,0
U335,C0010200,1
U765,C0039070,1
U348,C0000737,1
U849,C3552463,0
U140,C0237326,1
U999,C0270948,0
U35,C0027066,0
U879,C0018681,0
U459,C0270948,0
U90,C0015967,1
U52,C0013604,1
U13,C0022541,0
U460,C0013604,1
U206,C0040034,0
U85,C0001925,0
U934,C0032914,0
U319,C0012833,1
U172,C0033774,1
U592,C0030193,1
U821,C0003126,0
U988,C1691779,0
U496,C0036572,1
U537,C3552463,0
U201,C0003123,0
U856,C1384666,0
U172,C0008031,0
U778,C0022541,0
U117,C0032285,1
U953,C0011991,1
U566,C0020429,1
U705,C0042571,0
U785,C0032285,1
U761,C0002622,0
U570,C0026821,0
U900,C0030193,1
U638,C0030193,1
U108,C0751295,0
U636,C0030193,1
U263,C0010200,1
U417,C0013595,0
U782,C0152031,0
U463,C0020429,1
U606,C0002103,0
U110,C0000737,1
U339,C0020429,1
U779,C0009806,1
U206,C0020429,1
U72,C0398650,0
U829,C0241210,0
U211,C0020429,1
U142,C0010200,1
U338,C0030193,1
U496,C0020429,1
U861,C0008489,0
U794,C1963154,0
U963,C0039070,1
U129,C0151908,1
U207,C0032285,1
U213,C1836296,0
U869,C0020429,1
U36,C0042571,1
U196,C0020429,1
U757,C1568248,0
U70,C0011570,0
U174,C1836296,0
U451,C0020429,1
U381,C0020538,0
U410,C0018777,0
U480,C0237326,1
U397,C0152200,0
U511,C0427055,0
U747,C0012833,0
U634,C0015967,1
U808,C0037315,0
U325,C0008031,1
U734,C0013604,1
U868,C0033377,0
U44,C0018834,0
U505,C0009806,1
U142,C0221263,0
U348,C0010200,1
U995,C0020429,1
U860,C0042798,1
U533,C0032285,1
U656,C0155320,0
U473,C0033774,0
U810,C0030193,1
U287,C0027498,0
U205,C0003537,1
U746,C0699731,0
U201,C0012833,1
U941,C0010200,1
U762,C3552463,0
U262,C0020429,1
U696,C0542476,1
U1027,C0033687,0
U390,C0011991,1
U234,C0010200,1
U838,C0009421,0
U207,C0010200,1
U234,C0030193,1
U367,C1262477,0
U193,C0005745,0
U347,C0042384,0
U664,C0013595,1
U7,C0003578,0
U551,C0271097,0
U314,C0012833,1
U276,C0085636,0
U346,C0155320,0
U517,C3668816,0
U476,C0917816,0
U90,C0031154,0
U868,C0005779,0
U363,C0011991,1
U64,C0085636,1
U944,C0021368,0
U148,C0030193,1
U380,C0003113,0
U769,C0851578,0
U812,C0030193,0
U977,C0086132,1
U103,C0030193,1
U968,C0178417,0
U662,C0085636,1
U77,C0030193,1
U517,C0039070,0
U650,C0030193,1
U689,C0237326,0
U503,C0042798,1
U4,C0000737,1
U321,C0020455,0
U903,C0042963,1
U38,C0030232,0
U108,C0020429,1
U489,C0241210,0
U312,C0237326,1
U862,C0010200,1
U789,C0042571,1
U536,C0020615,0
U922,C2931205,0
U64,C0476273,0
U171,C0039070,1
U951,C0010200,1
U116,C0003578,0
U860,C0031154,0
U162,C0000737,1
U179,C0234979,0
U879,C0235153,0
U188,C0030193,1
U141,C0013604,1
U627,C0020429,1
U150,C0030193,1
U512,C0151825,0
U211,C0000737,1
U205,C0973461,1
U484,C0973461,1
U372,C0018834,1
U841,C0542476,1
U515,C0008489,0
U635,C0018989,1
U938,C0009421,0
U439,C0751837,0
U780,C0023015,0
U983,C0001925,0
U628,C0151786,1
U567,C0003537,0
U740,C0009398,0
U198,C0746674,0
U20,C0027066,0
U174,C0162674,0
U593,C0028756,0
U808,C0028754,0
U592,C0018681,1
U147,C0032914,0
U860,C0018681,1
U991,C3668816,0
U443,C0008031,1
U993,C0033687,0
U71,C0023530,0
U322,C0151908,0
U365,C0003113,0
U201,C0008031,0
U425,C0542476,0
U498,C0241210,0
U686,C0019214,0
U870,C0027498,0
U530,C0020429,1
U547,C0234133,0
U18,C1860844,0
U468,C0699731,0
U782,C0026826,0
U559,C0013595,1
U974,C3552463,0
U348,C4020887,0
U841,C0012833,1
U104,C0023015,1
U160,C0030193,1
U185,C0000737,1
U335,C0011991,1
U91,C0030193,1
U757,C0026821,0
U454,C0033774,1
U678,C0009806,1
U168,C0206160,0
U169,C0030193,1
U268,C0042571,1
U566,C0031154,0
U399,C0020429,1
U225,C0000737,0
U89,C2931205,0
U454,C1963137,0
U103,C0022346,0
U994,C0011991,1
U45,C0020305,0
U625,C0020429,1
U867,C0032285,0
U488,C0427055,0
U522,C0020429,1
U346,C1145670,0
U247,C0042963,1
U265,C0020429,1
U510,C0018681,0
U575,C1568248,0
U435,C0234133,0
U631,C0271097,0
U730,C0030193,1
U247,C0699731,0
U462,C0030193,1
U262,C0033774,1
U1030,C0751295,0
U124,C0019214,1
U491,C0020455,0
U979,C0000737,1
U146,C0030193,1
U834,C0000737,1
U597,C0009806,1
U869,C0020455,0
U516,C0851578,0
U631,C0020796,0
U214,C0018681,1
U148,C0020429,1
U602,C0042571,1
U140,C0012833,0
U383,C0020429,1
U696,C0020429,1
U706,C1691779,0
U637,C0015230,1
U903,C0018834,1
U63,C0000737,1
U856,C0030193,1
U619,C0022116,0
U937,C0015967,0
U982,C0002103,0
U338,C0020429,1
U417,C0020429,1
U713,C0042571,0
U421,C1262477,0
U302,C0231835,1
U669,C0033687,0
U747,C0234378,0
U818,C0030193,1
U237,C0018681,0
U917,C0020538,0
U682,C0042798,1
U1039,C0231835,0
U749,C0021368,0
U1025,C0020429,1
U83,C0231835,1
U462,C0235153,0
U93,C0032285,1
U473,C0042963,0
U1040,C0026821,0
U724,C0026838,0
U262,C0151825,0
U24,C0030193,1
U823,C3203358,0
U735,C0018681,1
U858,C0030193,1
U171,C0030193,1
U214,C0032617,0
U790,C0030193,1
U872,C0018681,1
U68,C0178417,0
U602,C0003537,1
U828,C3714756,0
U874,C0456909,0
U837,C0039070,1
U62,C0011991,1
U207,C1838869,0
U756,C0033377,0
U404,C0271215,0
U47,C0009806,1
U504,C0032285,1
U387,C0030193,1
U602,C0003635,0
U312,C0022346,0
U491,C0751295,0
U393,C0000737,1
U372,C0042963,1
U898,C0033774,1
U1042,C0151786,0
U732,C0014335,0
U638,C0026838,0
U134,C3203358,0
U83,C0032285,1
U869,C0022346,1
U962,C0010200,1
U571,C0033774,0
U457,C0013595,0
U341,C0270948,0
U650,C0042963,1
U849,C0013404,0
U906,C0030193,0
U386,C0000737,1
U789,C0042384,0
U771,C0009460,0
U443,C0013404,0
U207,C0013595,1
U733,C0231528,1
U998,C0020429,1
U310,C0013404,0
U892,C0700078,0
U351,C0162674,0
U634,C0018681,1
U958,C0030193,1
U877,C0026837,0
U637,C0026821,0
U901,C0020429,1
U709,C1836296,0
U776,C0020429,1
U87,C0013604,1
U189,C0013491,0
U776,C0000737,1
U716,C0010200,1
U55,C0013604,1
U265,C0036572,1
U513,C0020429,1
U146,C0022346,1
U1032,C0015967,0
U873,C0241210,0
U625,C0231807,0
U911,C0427055,1
U558,C0015967,1
U778,C0021368,0
U779,C0020429,1
U348,C0086132,1
U19,C0010200,1
U268,C0009398,0
U234,C0020429,1
U544,C0000737,1
U582,C0020429,1
U141,C0020429,1
U668,C0162298,0
U801,C1963154,0
U837,C0011991,1
U79,C0011570,0
U559,C0152200,0
U693,C0005745,0
U3,C4020887,0
U735,C0000737,1
U542,C1838869,0
U86,C0008031,1
U230,C0013604,1
U14,C0027498,0
U146,C0039070,1
U360,C0009806,1
U623,C0003862,1
U503,C0023530,0
U959,C0030193,1
U268,C0029089,0
U691,C0000737,1
U88,C1262477,0
U867,C1568249,0
U35,C3203358,0
U597,C0009421,1
U273,C0030193,1
U709,C0010200,1
U875,C0000737,1
U995,C0018834,1
U360,C0011991,1
U638,C0019214,0
U349,C0030193,1
U659,C0011991,1
U630,C0003862,1
U1013,C1963154,0
U375,C0010200,1
U826,C0030193,1
U242,C0018681,1
U713,C0030193,1
U186,C0002103,0
U829,C0086132,1
U380,C0011991,1
U336,C0035078,0
U86,C0020429,1
U638,C0018989,1
U70,C0030193,1
U672,C0152031,0
U56,C0020429,1
U133,C0031154,0
U903,C0234133,0
U77,C0020429,1
U174,C0151908,0
U696,C0008031,1
U63,C0020429,1
U594,C0010200,1
U795,C0009806,1
U52,C0022346,1
U463,C0030193,1
U584,C0000737,1
U375,C0042963,1
U474,C0085636,0
U380,C0000737,1
U230,C0011991,1
U10,C0029089,0
U106,C0042963,1
U430,C0018681,1
U530,C0022346,1
U982,C1860844,0
U486,C0037317,0
U917,C0751265,0
U510,C0456909,0
U662,C0026838,0
U533,C0037315,0
U826,C0151786,1
U321,C0018681,1
U939,C2931205,0
U558,C0000737,1
U861,C0476273,0
U767,C0237326,1
U183,C0020538,0
U269,C0085636,1
U35,C0030193,1
U175,C1568248,0
U247,C0231835,1
U901,C0009806,1
U120,C0030193,1
U236,C0030193,1
U311,C0427055,0
U711,C0026838,0
U247,C0030193,1
U861,C0020429,1
U183,C2931205,0
U470,C0018681,1
U793,C0026826,0
U475,C0206160,0
U430,C3668816,0
U510,C0023014,0
U162,C0042571,1
U664,C0018989,0
U1033,C1838869,0
U27,C0002103,0
U206,C0010200,1
U420,C0009806,0
U263,C0030193,1
U534,C0020429,1
U45,C0003123,0
U232,C0003862,1
U110,C0030193,1
U342,C0009460,0
U602,C0020429,1
U236,C0011991,1
U1006,C0020796,0
U95,C0030193,1
U682,C0036572,1
U243,C0019214,1
U314,C0030193,1
U361,C0026837,0
U840,C0151825,0
U865,C1384666,0
U503,C0030193,1
U440,C0020429,1
U265,C0042571,1
U91,C0751265,0
U1002,C0003126,0
U911,C0000737,1
U919,C0020429,1
U393,C0030193,1
U570,C0002418,0
U691,C1838869,0
U867,C0018834,1
U442,C0028754,0
U550,C0234378,0
U513,C0086565,0
U91,C0000737,1
U230,C0029089,0
U926,C0018780,0
U602,C0973461,1
U127,C0023380,0
U360,C0020429,1
U765,C0018989,1
U505,C1691779,0
U850,C0456909,0
U3,C0005779,0
U164,C0032285,1
U242,C0020429,1
U286,C0030193,1
U216,C0020429,1
U126,C0011570,0
U384,C0015644,0
U248,C0003578,0
U871,C0013604,1
U346,C0020429,1
U985,C1691779,0
U584,C0042963,1
U89,C0026838,0
U248,C0039070,1
U676,C0020429,1
U235,C0011570,0
U650,C0023530,0
U693,C0030193,1
U172,C0086132,0
U418,C0009806,0
U616,C0751265,0
U76,C0011991,1
U578,C0018681,1
U578,C0020429,1
U857,C0234133,0
U155,C0030193,1
U245,C0023186,0
U305,C0022346,1
U522,C0030193,1
U476,C0086132,1
U730,C0011991,1
U240,C0033774,1
U483,C0014118,0
U180,C0237326,1
U856,C0851578,1
U964,C0015967,0
U630,C0002103,0
U244,C0010200,1
U263,C0013604,1
U610,C0042963,1
U102,C0020429,1
U871,C0206160,0
U994,C0032285,1
U859,C0018780,0
U479,C0014335,0
U693,C0005779,0
U659,C0030193,1
U841,C0542476,1
U195,C0030193,1
U1010,C0000737,1
U20,C0042963,1
U755,C3714756,0
U733,C0270948,0
U336,C0013404,0
U911,C0015230,1
U124,C0043094,0
U399,C0008031,1
U757,C0035078,0
U282,C0241210,0
U954,C0917816,0
U94,C0042024,0
U901,C0009398,0
U516,C0003862,1
U359,C0018681,1
U591,C0016382,0
U779,C0030193,1
U258,C0020429,1
U370,C0010200,1
U752,C0206160,0
U392,C0026837,0
U542,C0040822,0
